"Session country","Session region","Session city","Online store visitors","Sessions"
"Hong Kong","Yuen Long District","Tai Wai",2,3
"United States","Colorado","Fort Collins",2,3
"United States","North Carolina","Raleigh",3,3
"United States","Maryland","Silver Spring",2,3
"United States","Tennessee","Gallatin",3,3
"United States","Oklahoma","Edmond",3,3
"Taiwan",,,3,3
"United States","Washington","Tacoma",3,3
"United States","California","Tracy",1,3
"United States","New York","Huntington",1,3
"United States","Oklahoma","Norman",3,3
"United States","Texas",,3,3
"United States","Oregon","Ashland",2,3
"Vietnam","Hanoi","Hanoi",3,3
"United Kingdom","England","London",3,3
"India","Andhra Pradesh","Visakhapatnam",3,3
"United States","New Jersey","Jersey City",3,3
"United States","Washington","Auburn",2,3
"United States","Wisconsin","Green Bay",2,3
"Hong Kong","Yuen Long District","Yuen Long San Hui",3,3
"United States","Oregon","Gresham",2,2
"United States","North Carolina","Cary",2,2
"United States","Alabama","Montgomery",2,2
"Ghana","Greater Accra Region","Accra",2,2
"United States","Michigan","Royal Oak",2,2
"United States","South Carolina","Sumter",2,2
"Cambodia","Phnom Penh","Phnom Penh",2,2
"India","Gujarat","Ahmedabad",2,2
"United States","Rhode Island","West Warwick",1,2
"United States","Arizona","Tucson",2,2
"United States","Indiana","Burrows",2,2
"France","Île-de-France","Sevran",2,2
"United States","Vermont","Essex Junction",1,2
"United States","Texas","Lubbock",2,2
"Morocco",,,2,2
"United States","Kansas",,2,2
"Ireland","Leinster","Clonee",2,2
"United States","Washington","Moses Lake",1,2
"United States","North Carolina","Raeford",2,2
"United States","Arizona",,1,2
"United States","Alaska","Anchorage",2,2
"Philippines",,,2,2
"United States","Georgia","Fayetteville",2,2
"United States","New Jersey","North Bergen",2,2
"Australia","New South Wales","Wollongong",2,2
"United States","California","Nipomo",1,2
"United States","Tennessee","Murfreesboro",2,2
"United States","Texas","Nacogdoches",1,2
"United States","California","Santa Barbara",2,2
"United States","Utah","West Jordan",2,2
"United States","Georgia","Hinesville",2,2
"Hong Kong","Eastern District","North Point",1,2
"United States","Connecticut","New Milford",2,2
"United States","New Jersey","Mount Laurel",2,2
"Indonesia",,,2,2
"United States","Colorado","Aurora",2,2
"United States","Connecticut","New Hartford",1,2
"Hong Kong","Sha Tin","Sha Tin Wai",2,2
"United States","Maine","Kennebunk",1,2
"United States","North Carolina",,2,2
"United States","Texas","Alpine",2,2
"United States","North Carolina","Chapel Hill",2,2
"United States","Hawaii","Honolulu",2,2
"India","Haryana","Panipat",1,2
"Indonesia","Bali","Denpasar",2,2
"United States","Texas","Katy",2,2
"United States","New York","Buffalo",2,2
"United States","Pennsylvania","Allentown",2,2
"Zambia","Lusaka Province","Lusaka",2,2
"United States","Virginia","Norfolk",2,2
"United States","Nevada","Reno",2,2
"United States","Maryland","Crofton",2,2
"Hong Kong","Eastern","North Point",1,2
"United States","Hawaii","Hilo",2,2
"Taiwan","New Taipei City","Xinzhuang District",2,2
"United States","Florida","Port Saint Lucie",2,2
"United States","Minnesota","Eden Prairie",1,2
"United States","Tennessee","McMinnville",2,2
"Canada","Ontario","Toronto",2,2
"United States","New York","Syracuse",2,2
"United States","Maryland","Bel Air",2,2
"United States","North Carolina","Fayetteville",2,2
"United States","Tennessee","Monterey",2,2
"United States","Georgia","Smyrna",2,2
"France","Rhône-Alpes","Firminy",2,2
"United States","Iowa","Des Moines",2,2
"United States","New York","Yonkers",1,2
"United States","Utah","Salt Lake City",2,2
"United States","Michigan","Taylor",2,2
"United States","Virginia","Centreville",2,2
"United States","Wisconsin","Hudson",2,2
"United States","New Jersey","West Orange",2,2
"United States","Maine","Freeport",1,2
"United States","Massachusetts","Danvers",2,2
"United States","North Carolina","Winston-Salem",2,2
"United States","California","Stanton",2,2
"United States","Connecticut","Waterbury",2,2
"United States","Pennsylvania","Tobyhanna",1,2
"Taiwan","Taichung City","Taichung",2,2
"United States","North Dakota","Fargo",2,2
"Australia",,,2,2
"United States","New Jersey","Trenton",2,2
"United States","Arizona","Yuma",2,2
"United States","Indiana","Crawfordsville",1,2
"United States","Montana","Missoula",2,2
"United States","Pennsylvania","Norristown",2,2
"United States","Rhode Island","Lincoln",1,2
"Sweden","Stockholm County","Stockholm",1,2
"Hungary","Budapest","Budapest",2,2
"United States","New York","New City",2,2
"United States","California","Northridge",1,2
"United States","Indiana","Bloomington",2,2
"Israel","Central District","Petah Tikva",2,2
"United States","New York","Saratoga Springs",1,2
"United States","Texas","El Paso",1,2
"United States","Oregon","Eugene",2,2
"Australia","Tasmania","Hobart",2,2
"United States","Wisconsin","Janesville",2,2
"United States","California","Azusa",1,2
"United States","Nebraska","Lincoln",2,2
"United States","New York","Albany",2,2
"United States","Texas","Round Rock",2,2
"United States","Texas","Buda",2,2
"United States","California","San Leandro",2,2
"United States","Georgia","Dawsonville",1,2
"United States","Illinois","Aurora",2,2
"United States","California",,2,2
"United States","New Jersey","Bridgeton",2,2
"United States","California","Pleasanton",1,2
"United States","Florida","Stuart",1,2
"United States","North Carolina","Wilmington",2,2
"United States","New York","Shelter Island",2,2
"United States","Florida","Sarasota",2,2
"United States","Connecticut","Waterford",2,2
"Macao",,,1,2
"United States","New York","Schenectady",2,2
"United States","California","Lake Forest",2,2
"United States","New York","Saint James",2,2
"United States","Alabama","Huntsville",2,2
"United States","Utah","Randolph",1,2
"United States","New Jersey","Garfield",1,2
"United States","Utah","Draper",1,2
"United States","Washington","Pullman",1,2
"China","Beijing","Beijing",2,2
"United States","Oklahoma","Tulsa",2,2
"United States","Massachusetts","Medford",2,2
"United States","Kentucky","Falmouth",1,2
"United States","Wisconsin","Racine",1,2
"Pakistan","Islamabad","Islamabad",1,2
"Thailand","Bangkok","Bangkok",2,2
"Australia","Victoria","Geelong",2,2
"United States","Washington","Vancouver",2,2
"United States","Virginia","Alexandria",2,2
"United States","Ohio","Jackson",1,2
"United States","Florida","Cape Coral",2,2
"United States","California","Oakland",2,2
"Bulgaria","Burgas","Burgas",1,2
"United States","Virginia","Harrisonburg",2,2
"United States","New Jersey","Flemington",2,2
"Japan",,,2,2
"United States","California","Chico",2,2
"United States","North Carolina","Snow Hill",1,1
"United States","Massachusetts","Springfield",1,1
"United States","Connecticut","Southbury",1,1
"United States","Alabama","Daphne",1,1
"United States","California","Campbell",1,1
"United States","New Jersey","Edison",1,1
"United States","Minnesota","Redwood Falls",1,1
"United States","Indiana","Jeffersonville",1,1
"United States","North Carolina","Lincolnton",1,1
"United States","Michigan","Novi",1,1
"United States","New Jersey","Manalapan",1,1
"United States","Illinois","Schaumburg",1,1
"United States","Colorado","Monte Vista",1,1
"United Kingdom","England","Leeds",1,1
"United States","Indiana","Elkhart",1,1
"United States","Texas","Vidor",1,1
"United States","Pennsylvania","Warren",1,1
"United States","Illinois","Naperville",1,1
"United States","Florida","Davenport",1,1
"United States","Arkansas","Bentonville",1,1
"United States","New Jersey","Plainfield",1,1
"United States","New York","Freeport",1,1
"United States","Illinois","Gurnee",1,1
"United States","Colorado","Edwards",1,1
"United States","California","Glendale",1,1
"United States","North Carolina","Warsaw",1,1
"United States","Alaska","Eagle River",1,1
"United States","Virginia","Portsmouth",1,1
"United Arab Emirates","Abu Dhabi","Abu Dhabi",1,1
"United States","California","Fremont",1,1
"United States","North Carolina","High Point",1,1
"United States","Mississippi","Calhoun City",1,1
"United Kingdom","England","Barnsley",1,1
"United States","New York","Mastic Beach",1,1
"United States","Texas","Dickens",1,1
"United States","West Virginia","Hurricane",1,1
"United States","North Carolina","Burlington",1,1
"United States","South Dakota","Pierre",1,1
"United States","North Carolina","Tarboro",1,1
"United States","Hawaii","Waipahu",1,1
"United States","Indiana","Carmel",1,1
"United States","Florida","Miami Beach",1,1
"Hong Kong","Sha Tin","Ma On Shan",1,1
"United States","Oregon","Beaverton",1,1
"United States","Washington","Puyallup",1,1
"United States","Minnesota","Apple Valley",1,1
"United States","Massachusetts","Taunton",1,1
"United States","California","Hayward",1,1
"United States","Missouri","Cape Girardeau",1,1
"United States","New Hampshire","Orford",1,1
"United States","Georgia","Pine Mountain",1,1
"United States","Florida","Largo",1,1
"United States","Vermont","Hyde Park",1,1
"United States","Oregon","Hillsboro",1,1
"United States","North Carolina","Mebane",1,1
"Ukraine","Lviv","Lviv",1,1
"Canada","Ontario","Stoney Point",1,1
"United States","Illinois","Oak Park",1,1
"Russia","Sverdlovsk Oblast","Yekaterinburg",1,1
"United States","New Jersey","Somerset",1,1
"United States","Georgia","Kennesaw",1,1
"United States","Wyoming","Sheridan",1,1
"Iceland","Southern Peninsula","Keflavik",1,1
"United States","Pennsylvania","Lansdowne",1,1
"United States","New Jersey","Perth Amboy",1,1
"United States","Florida","Venice",1,1
"United States","California","Santa Ana",1,1
"United States","Connecticut","Monroe",1,1
"United States","New Mexico","Lovington",1,1
"United States","California","Rancho Cucamonga",1,1
"United States","Connecticut","Clinton",1,1
"United States","Oregon","Medford",1,1
"United States","Wisconsin","Mequon",1,1
"United States","Utah","Herriman",1,1
"United States","Georgia","Acworth",1,1
"United States","Illinois","Springfield",1,1
"United States","Pennsylvania","Warriors Mark",1,1
"United States","North Carolina","Morganton",1,1
"United States","California","Chatsworth",1,1
"United States","New Hampshire","Farmington",1,1
"United States","Georgia","Athens",1,1
"Canada","Ontario","Richmond Hill",1,1
"United States","Indiana","Mooresville",1,1
"United States","California","Torrance",1,1
"United States","California","Vacaville",1,1
"United States","Oklahoma","Stillwater",1,1
"United States","Oklahoma","Enid",1,1
"United States","West Virginia","Elkins",1,1
"United States","Missouri","Columbia",1,1
"United States","Texas","Killeen",1,1
"United States","Michigan","Utica",1,1
"United States","Massachusetts","New Bedford",1,1
"United States","Florida","Wellington",1,1
"United States","California","Chowchilla",1,1
"China","Zhejiang","Jiaxing",1,1
"United States","New Jersey","Montclair",1,1
"United States","North Dakota","Williston",1,1
"United States","Mississippi","Ridgeland",1,1
"United States","Texas","Eagle Pass",1,1
"United States","North Carolina","Cherokee",1,1
"United States","Nevada","North Las Vegas",1,1
"United States","California","Encinitas",1,1
"United States","Virginia","Covington",1,1
"Saudi Arabia","Eastern Province","Dammam",1,1
"United States","Maryland","Potomac",1,1
"United States","Michigan","Midland",1,1
"United States","Illinois","Oak Lawn",1,1
"United States","Illinois","Des Plaines",1,1
"United States","Indiana","Muncie",1,1
"Hong Kong","Sai Kung District","Tseung Kwan O",1,1
"United States","Wisconsin","De Pere",1,1
"Japan","Osaka","Osaka",1,1
"United States","Ohio","Cortland",1,1
"United States","Idaho","Meridian",1,1
"United States","Alabama","Enterprise",1,1
"United States","Illinois","Crest Hill",1,1
"United States","Florida","Homestead",1,1
"United States","Kansas","Pittsburg",1,1
"Hong Kong","Kowloon City","Ho Man Tin",1,1
"United States","Oklahoma","Sand Springs",1,1
"Cyprus",,,1,1
"United States","Colorado","Boulder",1,1
"United States","Indiana","Columbus",1,1
"United States","New Jersey","Hoffman",1,1
"United States","California","Huntington Beach",1,1
"United States","Colorado","Alamosa",1,1
"United States","Georgia","Norcross",1,1
"United States","Tennessee","Bean Station",1,1
"United States","Utah","Spanish Fork",1,1
"United States","Ohio","Stow",1,1
"United States","Kansas","Ottawa",1,1
"United States","Pennsylvania","Harrisburg",1,1
"United States","West Virginia","Mason",1,1
"United States","California","Upland",1,1
"Australia","Victoria","Warragul",1,1
"United States","Ohio","Findlay",1,1
"United States","Indiana","Hammond",1,1
"United States","Virginia",,1,1
"United States","Connecticut","Stamford",1,1
"United States","Minnesota","Farwell",1,1
"United States","California","Norwalk",1,1
"United States","Texas","Sugar Land",1,1
"United States","Texas","Crosby",1,1
"United States","Kansas","Wichita",1,1
"Taiwan","Hsinchu City","Hsinchu",1,1
"United States","Arkansas","Harrison",1,1
"United States","North Carolina","Greenville",1,1
"United States","Georgia","Savannah",1,1
"United States","New York","Plainview",1,1
"India","Haryana","Gurugram",1,1
"Kazakhstan","Astana","Astana",1,1
"United States","Texas","Gainesville",1,1
"United States","Michigan","Commerce",1,1
"United States","Ohio","Shelby",1,1
"United States","California","Lindsay",1,1
"United States","Kansas","Medicine Lodge",1,1
"United States","Tennessee","Oak Ridge",1,1
"United States","Oregon","Bend",1,1
"United States","Texas","Tyler",1,1
"United States","Utah",,1,1
"United States","California","Lake Elsinore",1,1
"United States","South Carolina","Spartanburg",1,1
"United States","Pennsylvania","Waynesboro",1,1
"United States","Colorado","Louisville",1,1
"Australia","Victoria","Pakenham",1,1
"United States","Massachusetts","Abington",1,1
"India","Maharashtra","Pune",1,1
"Canada","Ontario","Goderich",1,1
"United States","California","San Pablo",1,1
"United States","Illinois","Elmhurst",1,1
"United States","California","Monterey",1,1
"United States","Florida","Palatka",1,1
"United States","Georgia","Adel",1,1
"Australia","Victoria","Drouin",1,1
"United States","Florida","Winter Park",1,1
"United States","Virginia","Petersburg",1,1
"United States","Colorado","Rocky Ford",1,1
"United States","Ohio","North Ridgeville",1,1
"United States","Louisiana","Kenner",1,1
"Hong Kong","Kwai Tsing District","Ha Kwai Chung",1,1
"United States","Minnesota",,1,1
"United States","California","Oceanside",1,1
"United States","Ohio","Girard",1,1
"United States","New Jersey","Williamstown",1,1
"Australia","New South Wales","Harden",1,1
"United States","Indiana","Peru",1,1
"United States","New York","Huntington Station",1,1
"Russia","Perm Krai","Perm",1,1
"Hong Kong","Sham Shui Po District","Shek Kip Mei",1,1
"United States","Massachusetts","Tewksbury",1,1
"United States","Arkansas","Little Rock",1,1
"United States","Mississippi","Pinola",1,1
"United States","Texas","San Benito",1,1
"United States","South Carolina","Seneca",1,1
"United States","New York","Watertown",1,1
"United States","California","Petaluma",1,1
"United States","California","Roseville",1,1
"United States","Virginia","Falls Church",1,1
"United States","Washington","Kennewick",1,1
"Hong Kong","Tuen Mun","Tuenmen",1,1
"United States","Nebraska","Hastings",1,1
"United States","Texas","Amarillo",1,1
"United States","New Jersey","Livingston",1,1
"Australia","Queensland","Bundaberg",1,1
"United States","Virginia","Charlottesville",1,1
"Australia","Victoria","Wallan",1,1
"United States","Tennessee","Manchester",1,1
"United States","California","Corona",1,1
"Canada","Ontario","Fort Erie",1,1
"Pakistan","Punjab","Jhelum",1,1
"United States","Texas","Cleveland",1,1
"United States","California","North Hollywood",1,1
"Australia","Queensland","Gold Coast",1,1
"United States","Pennsylvania","Glenolden",1,1
"United States","Nebraska","Kearney",1,1
"United States","Illinois","Westville",1,1
"United States","Florida","Bradenton",1,1
"United States","North Carolina","Mooresville",1,1
"United States","Virginia","Reston",1,1
"Australia","New South Wales","Mudgee",1,1
"United States","Texas","Graham",1,1
"Spain","Madrid","Madrid",1,1
"United States","Missouri","City of Saint Peters",1,1
"United States","California","Foster City",1,1
"United States","New York","Plattsburgh",1,1
"United States","Florida","North Port",1,1
"United States","Pennsylvania","Nanticoke",1,1
"United States","Virginia","Smithfield",1,1
"United States","Indiana","Cedar Lake",1,1
"United States","Michigan",,1,1
"Canada","Quebec","Beauharnois",1,1
"United States","Virginia","Henrico",1,1
"United States","Ohio","Marion",1,1
"United States","Pennsylvania","Easton",1,1
"United States","Michigan","Clio",1,1
"Taiwan","New Taipei City","New Taipei City",1,1
"United States","Oklahoma","Owasso",1,1
"United States","New Jersey","Belleville",1,1
"United States","New York","Kerhonkson",1,1
"United States","Montana","Anaconda",1,1
"United States","Pennsylvania","Macungie",1,1
"United States","Michigan","Harrison",1,1
"Tunisia","Tunis Governorate","Tunis",1,1
"United States","Texas","Humble",1,1
"United States","Washington","Lynnwood",1,1
"India","Rajasthan","Jaipur",1,1
"United States","California","Monrovia",1,1
"United States","Massachusetts","Somerset",1,1
"United States","Michigan","Sterling Heights",1,1
"United States","Texas","Crowley",1,1
"Australia","Queensland","Townsville",1,1
"United States","Missouri","Blue Springs",1,1
"United States","California","Encino",1,1
"United States","California","Chula Vista",1,1
"United States","California","Aptos",1,1
"United States","Louisiana","Mamou",1,1
"United States","Wisconsin","Mukwonago",1,1
"Australia","New South Wales","Newcastle",1,1
"United States","Pennsylvania","Towanda",1,1
"United States","Georgia","La Grange",1,1
"United States","Alabama","Talladega",1,1
"United States","California","San Bernardino",1,1
"United States","South Carolina","Florence",1,1
"United States","Louisiana","Denham Springs",1,1
"United States","Pennsylvania","Irwin",1,1
"United States","Florida","Coconut Grove",1,1
"United States","Michigan","Wyoming",1,1
"United States","Kentucky","Bowling Green",1,1
"United States","Florida","Jensen Beach",1,1
"United States","Pennsylvania","West Grove",1,1
"United States","Michigan","Traverse City",1,1
"United States","Massachusetts","Arlington",1,1
"United States","New Jersey","Eatontown",1,1
"United States","Missouri","Tipton",1,1
"United States","Georgia","Dahlonega",1,1
"United States","Texas","Arlington",1,1
"United States","California","South Lake Tahoe",1,1
"United States","Minnesota","Shakopee",1,1
"United States","New Mexico","El Prado",1,1
"United States","Colorado","Parker",1,1
"United States","Vermont","Saint Johnsbury",1,1
"United States","Illinois","Charleston",1,1
"United States","Illinois","Rockford",1,1
"United States","Massachusetts","Brighton",1,1
"United States","Colorado","Highlands Ranch",1,1
"United States","Virginia","Vienna",1,1
"United States","California","Santa Paula",1,1
"United States","New York","Manlius",1,1
"United States","South Dakota","Sioux Falls",1,1
"United States","California","Lancaster",1,1
"United States","Nevada","Carson City",1,1
"United Kingdom","England","Runcorn",1,1
"United States","Mississippi","Picayune",1,1
"United States","Colorado","Steamboat Springs",1,1
"Taiwan","New Taipei City","Banqiao",1,1
"United States","Oregon","Tillamook",1,1
"United States","California","La Habra",1,1
"United States","Florida","Pinellas Park",1,1
"United States","Illinois","McHenry",1,1
"United States","South Carolina","Dillon",1,1
"Pakistan","Punjab",,1,1
"United States","South Dakota","Clark",1,1
"United States","Arizona","Peoria",1,1
"United States","Utah","Tooele",1,1
"United States","Colorado","Castle Rock",1,1
"United States","Florida","Saint Augustine",1,1
"Malaysia","Selangor","Puchong Batu Dua Belas",1,1
"Australia","Victoria","Melton West",1,1
"Hong Kong","Kwun Tong District","Kwun Tong",1,1
"United States","Mississippi","Gulfport",1,1
"United States","New York","Lindenhurst",1,1
"United States","Texas","Laredo",1,1
"United States","Maine","Rockport",1,1
"United States","Ohio","Chillicothe",1,1
"Hong Kong","Eastern District","Chai Wan",1,1
"United States","California","Irvine",1,1
"United States","Florida","Palm Harbor",1,1
"United States","Washington","Stanwood",1,1
"United States","Oklahoma","Durant",1,1
"United States","Michigan","Warren",1,1
"Canada","Ontario","Kingston",1,1
"Canada","British Columbia","Port Alice",1,1
"United States","Kentucky","Radcliff",1,1
"United States","Alabama","Mobile",1,1
"United States","Michigan","Livonia",1,1
"United States","Tennessee","Paris",1,1
"United States","California","Mission Viejo",1,1
"United States","Utah","Ogden",1,1
"United States","Alabama","Centre",1,1
"United States","Minnesota","Red Wing",1,1
"United States","Pennsylvania","Nazareth",1,1
"United States","Missouri","Saint Charles",1,1
"Sweden","Norrbotten County","Luleå",1,1
"United States","California","Gardena",1,1
"United States","Missouri","Meadville",1,1
"United States","Alabama","Decatur",1,1
"United States","Hawaii","Kaunakakai",1,1
"United States","California","Selma",1,1
"United States","Virginia","Bristol",1,1
"United States","Kentucky","Harlan",1,1
"France","Île-de-France","Le Plessis-Robinson",1,1
"United States","West Virginia","Morgantown",1,1
"United States","Louisiana","Minden",1,1
"United States","Kentucky","Alexandria",1,1
"United States","Wisconsin","Manitowoc",1,1
"United States","Virginia","Evington",1,1
"United States","South Carolina","Salem",1,1
"United States","Connecticut","Wethersfield",1,1
"United States","California","Victorville",1,1
"United States","Illinois","Oak Forest",1,1
"United States","California","Anaheim",1,1
"United States","Oregon","Corvallis",1,1
"United States","Pennsylvania","Mars",1,1
"United States","Missouri","Wentzville",1,1
"United States","New York","Rochester",1,1
"France","Grand Est","Illkirch-Graffenstaden",1,1
"United States","Delaware","Milton",1,1
"United States","Louisiana","Eunice",1,1
"United States","Virginia","Floyd",1,1
"United States","Illinois","Cicero",1,1
"United States","Tennessee","Johnson City",1,1
"United States","Connecticut","Vernon",1,1
"United States","North Carolina","Moyock",1,1
"United States","North Carolina","Pinehurst",1,1
"United States","Alabama","Madison",1,1
"United States","New Hampshire","Berlin",1,1
"Thailand","Nakhon Pathom","Nakhon Pathom",1,1
"United Kingdom","England","Broxbourne",1,1
"United States","Kentucky","Lynch",1,1
"United States","District of Columbia",,1,1
"United States","Pennsylvania","Clifton Heights",1,1
"United States","New York","Binghamton",1,1
"United States","North Carolina","Kannapolis",1,1
"United States","Illinois","Delavan",1,1
"United States","California","McKinleyville",1,1
"United States","Nevada",,1,1
"United States","Pennsylvania","Ashland",1,1
"United States","Texas","Jacksonville",1,1
"United States","Connecticut","East Hartford",1,1
"United States","New York","Newark",1,1
"United States","Delaware","Newark",1,1
"United States","Michigan","Holland",1,1
"United States","Texas","Huntsville",1,1
"Canada","Alberta","Calgary",1,1
"United States","Texas","Melissa",1,1
"United States","Virginia","Staunton",1,1
"United States","Arizona","Scottsdale",1,1
"United States","Florida","Pensacola",1,1
"United States","Montana","Bozeman",1,1
"United States","Mississippi","Mize",1,1
"United States","Florida","St. Petersburg",1,1
"Afghanistan",,,1,1
"United States","California","Vallejo",1,1
"United States","Texas","Elgin",1,1
"Australia","Australian Capital Territory","Canberra",1,1
"United States","New York","Ellenville",1,1
"United States","Wyoming",,1,1
"United States","California","Colton",1,1
"United States","Arizona","Chandler",1,1
"United States","Hawaii",,1,1
"United States","New Jersey","Laurelton",1,1
"United States","New Jersey","Haddonfield",1,1
"United States","Florida","Saint Johns",1,1
"United States","Georgia","Columbus",1,1
